code,country,m2016
IE,Airija,71192.5
AT,Austrija,79516.4
BE,Belgija,272322.8
BG,Bulgarija,25525.1
CZ,Čekija,146050.3
DK,Danija,486656.9
EE,Estija,576433.1
GR,Graikija,14942.2
ES,Ispanija,240875.4
IT,Italija,438832
GB,Jungtinė Karalystė,824008.6
CY,Kipras,6546.4
HR,Kroatija,13037.3
LV,Latvija,990677.2
PL,Lenkija,1054510.1
LU,Liuksemburgas,5571
MT,Malta,859.8
NL,Nyderlandai,567670.3
PT,Portugalija,52112.5
FR,Prancūzija,528334.5
RO,Rumunija,39865.4
SK,Slovakija,48758.7
SI,Slovėnija,26801.6
FI,Suomija,322290.4
SE,Švedija,932469.4
HU,Vengrija,94585.5
DE,Vokietija,1360777.5
AU,Australija,31049.3
BY,Baltarusija,124182.6
IS,Islandija,25445
IL,Izraelis,34920.7
JP,Japonija,127813.3
US,Jungtinės Valstijos,1108415
AE,Jungtiniai Arabų Emyratai,65535.9
CA,Kanada,57918.4
CN,Kinija,93088.6
NO,Norvegija,631956.7
RU,Rusija,270926.2
CH,Šveicarija,92867.1
TR,Turkija,192512.9
UA,Ukraina,435218.2
