code,country,m2019K1,m2019K2,m2019K3
IE,Airija,33295.2,19485.5,12670.1
AT,Austrija,30548.1,35415.6,51217.9
BE,Belgija,94787.1,88585.9,96968.8
BG,Bulgarija,14207.8,16469.2,12352.8
CZ,Čekija,53321.2,58506.5,69203.1
DK,Danija,150786.8,148871.8,126779.9
EE,Estija,144203,226778.3,206228.9
GR,Graikija,7734,9845.2,9963.9
ES,Ispanija,52291.2,53180.6,80627.7
IT,Italija,124998.5,129187.6,142545.2
GB,Jungtinė Karalystė,255949.7,217761.9,223848.4
CY,Kipras,2048.1,2175.4,1885.4
HR,Kroatija,5317.8,6702.7,7934.5
LV,Latvija,280833.5,350704.1,413360.2
PL,Lenkija,426762.4,415451.5,340555.8
LU,Liuksemburgas,3006.4,2504.7,2051.3
MT,Malta,1394.6,1010.1,1747.9
NL,Nyderlandai,223738,202546.5,213511.3
PT,Portugalija,15714.4,16243.2,14115.9
FR,Prancūzija,151485.9,138005.7,132316.9
RO,Rumunija,16474.1,24092.9,17748.5
SK,Slovakija,15741.4,17489,15259.4
SI,Slovėnija,6572.4,7836.9,6983.2
FI,Suomija,100217.1,108811.1,88972.7
SE,Švedija,302046.3,305786.9,271728.8
HU,Vengrija,27273.1,29500.9,23904.2
DE,Vokietija,426022.4,409251.9,438571.3
AU,Australija,11606.7,13555,14645.8
BY,Baltarusija,39471.8,36625.2,40012.6
IS,Islandija,8073.9,10171.7,9748
IL,Izraelis,9712,23555.3,9763.9
JP,Japonija,65837.9,51576.9,31761.2
US,Jungtinės Valstijos,241990.4,218409.2,252986.9
AE,Jungtiniai Arabų Emyratai,8816.8,12095.1,11546.6
CA,Kanada,29130.6,38240.8,75136.2
CN,Kinija,36718.5,44866.7,38699.1
NO,Norvegija,179266.3,179134.5,177431.2
RU,Rusija,74372.1,76752.2,82143.7
CH,Šveicarija,31600.3,30812.3,35982.9
TR,Turkija,55261.6,37520.9,34478.9
UA,Ukraina,146963.2,180139.9,215861.1
