Laikotarpis	Rodiklis	Šalys ir teritorijos:Kodas	Šalys ir teritorijos:Pavadinimas	Kombinuotoji nomenklatūra (2-jų ženklų lygiu)	Matavimo vienetai	Reikšmė
2019	Eksportas	IE	Airija		tūkst. EUR	107154.9
2020M01	Eksportas	IE	Airija		tūkst. EUR	9037.4
2020M02	Eksportas	IE	Airija		tūkst. EUR	6685.3
2020M03	Eksportas	IE	Airija		tūkst. EUR	10228
2019	Eksportas	AT	Austrija		tūkst. EUR	215356
2020M01	Eksportas	AT	Austrija		tūkst. EUR	19946.4
2020M02	Eksportas	AT	Austrija		tūkst. EUR	20228
2020M03	Eksportas	AT	Austrija		tūkst. EUR	24035.5
2019	Eksportas	BE	Belgija		tūkst. EUR	555414.3
2020M01	Eksportas	BE	Belgija		tūkst. EUR	58833.2
2020M02	Eksportas	BE	Belgija		tūkst. EUR	40133.5
2020M03	Eksportas	BE	Belgija		tūkst. EUR	53709.3
2019	Eksportas	BG	Bulgarija		tūkst. EUR	98063.7
2020M01	Eksportas	BG	Bulgarija		tūkst. EUR	10269.1
2020M02	Eksportas	BG	Bulgarija		tūkst. EUR	10527.3
2020M03	Eksportas	BG	Bulgarija		tūkst. EUR	11704.7
2019	Eksportas	CZ	Čekija		tūkst. EUR	339545.8
2020M01	Eksportas	CZ	Čekija		tūkst. EUR	37534.8
2020M02	Eksportas	CZ	Čekija		tūkst. EUR	30647
2020M03	Eksportas	CZ	Čekija		tūkst. EUR	34559.4
2019	Eksportas	DK	Danija		tūkst. EUR	720113.8
2020M01	Eksportas	DK	Danija		tūkst. EUR	64644.3
2020M02	Eksportas	DK	Danija		tūkst. EUR	59519.7
2020M03	Eksportas	DK	Danija		tūkst. EUR	62400.1
2019	Eksportas	EE	Estija		tūkst. EUR	1517327.3
2020M01	Eksportas	EE	Estija		tūkst. EUR	99394
2020M02	Eksportas	EE	Estija		tūkst. EUR	91302.8
2020M03	Eksportas	EE	Estija		tūkst. EUR	126256.9
2019	Eksportas	GR	Graikija		tūkst. EUR	51015.1
2020M01	Eksportas	GR	Graikija		tūkst. EUR	6732.5
2020M02	Eksportas	GR	Graikija		tūkst. EUR	3733
2020M03	Eksportas	GR	Graikija		tūkst. EUR	4345.4
2019	Eksportas	ES	Ispanija		tūkst. EUR	317093
2020M01	Eksportas	ES	Ispanija		tūkst. EUR	25522.7
2020M02	Eksportas	ES	Ispanija		tūkst. EUR	34587.3
2020M03	Eksportas	ES	Ispanija		tūkst. EUR	21066.9
2019	Eksportas	IT	Italija		tūkst. EUR	663312.1
2020M01	Eksportas	IT	Italija		tūkst. EUR	55940.8
2020M02	Eksportas	IT	Italija		tūkst. EUR	55388.3
2020M03	Eksportas	IT	Italija		tūkst. EUR	44937
2019	Eksportas	GB	Jungtinė Karalystė		tūkst. EUR	1123291.8
2020M01	Eksportas	GB	Jungtinė Karalystė		tūkst. EUR	84370.7
2020M02	Eksportas	GB	Jungtinė Karalystė		tūkst. EUR	82424.9
2020M03	Eksportas	GB	Jungtinė Karalystė		tūkst. EUR	84162.3
2019	Eksportas	CY	Kipras		tūkst. EUR	12821.2
2020M01	Eksportas	CY	Kipras		tūkst. EUR	688.8
2020M02	Eksportas	CY	Kipras		tūkst. EUR	1445.8
2020M03	Eksportas	CY	Kipras		tūkst. EUR	700.4
2019	Eksportas	HR	Kroatija		tūkst. EUR	51397.3
2020M01	Eksportas	HR	Kroatija		tūkst. EUR	6426.3
2020M02	Eksportas	HR	Kroatija		tūkst. EUR	3398.6
2020M03	Eksportas	HR	Kroatija		tūkst. EUR	3952.4
2019	Eksportas	LV	Latvija		tūkst. EUR	2826554.1
2020M01	Eksportas	LV	Latvija		tūkst. EUR	218385.5
2020M02	Eksportas	LV	Latvija		tūkst. EUR	208712.8
2020M03	Eksportas	LV	Latvija		tūkst. EUR	227469.8
2019	Eksportas	PL	Lenkija		tūkst. EUR	2331865.3
2020M01	Eksportas	PL	Lenkija		tūkst. EUR	180878.7
2020M02	Eksportas	PL	Lenkija		tūkst. EUR	172284.5
2020M03	Eksportas	PL	Lenkija		tūkst. EUR	164138
2019	Eksportas	LU	Liuksemburgas		tūkst. EUR	12159.5
2020M01	Eksportas	LU	Liuksemburgas		tūkst. EUR	1018.9
2020M02	Eksportas	LU	Liuksemburgas		tūkst. EUR	520.5
2020M03	Eksportas	LU	Liuksemburgas		tūkst. EUR	1076
2019	Eksportas	MT	Malta		tūkst. EUR	6897.6
2020M01	Eksportas	MT	Malta		tūkst. EUR	340.6
2020M02	Eksportas	MT	Malta		tūkst. EUR	355.8
2020M03	Eksportas	MT	Malta		tūkst. EUR	469.4
2019	Eksportas	NL	Nyderlandai		tūkst. EUR	1074580.6
2020M01	Eksportas	NL	Nyderlandai		tūkst. EUR	95453
2020M02	Eksportas	NL	Nyderlandai		tūkst. EUR	90528.2
2020M03	Eksportas	NL	Nyderlandai		tūkst. EUR	112368.7
2019	Eksportas	PT	Portugalija		tūkst. EUR	71604.1
2020M01	Eksportas	PT	Portugalija		tūkst. EUR	7279.2
2020M02	Eksportas	PT	Portugalija		tūkst. EUR	4586.5
2020M03	Eksportas	PT	Portugalija		tūkst. EUR	4002.9
2019	Eksportas	FR	Prancūzija		tūkst. EUR	744524.5
2020M01	Eksportas	FR	Prancūzija		tūkst. EUR	65698.9
2020M02	Eksportas	FR	Prancūzija		tūkst. EUR	60567.2
2020M03	Eksportas	FR	Prancūzija		tūkst. EUR	43492
2019	Eksportas	RO	Rumunija		tūkst. EUR	117279.9
2020M01	Eksportas	RO	Rumunija		tūkst. EUR	8769.7
2020M02	Eksportas	RO	Rumunija		tūkst. EUR	9214.9
2020M03	Eksportas	RO	Rumunija		tūkst. EUR	8629.7
2019	Eksportas	SK	Slovakija		tūkst. EUR	95532.3
2020M01	Eksportas	SK	Slovakija		tūkst. EUR	8405.3
2020M02	Eksportas	SK	Slovakija		tūkst. EUR	8810.7
2020M03	Eksportas	SK	Slovakija		tūkst. EUR	9055.8
2019	Eksportas	SI	Slovėnija		tūkst. EUR	43656
2020M01	Eksportas	SI	Slovėnija		tūkst. EUR	3868.9
2020M02	Eksportas	SI	Slovėnija		tūkst. EUR	4357.8
2020M03	Eksportas	SI	Slovėnija		tūkst. EUR	3472.7
2019	Eksportas	FI	Suomija		tūkst. EUR	529154.1
2020M01	Eksportas	FI	Suomija		tūkst. EUR	39559.4
2020M02	Eksportas	FI	Suomija		tūkst. EUR	40313.2
2020M03	Eksportas	FI	Suomija		tūkst. EUR	49143.7
2019	Eksportas	SE	Švedija		tūkst. EUR	1319994.2
2020M01	Eksportas	SE	Švedija		tūkst. EUR	108170.7
2020M02	Eksportas	SE	Švedija		tūkst. EUR	107021
2020M03	Eksportas	SE	Švedija		tūkst. EUR	108362
2019	Eksportas	HU	Vengrija		tūkst. EUR	197295.6
2020M01	Eksportas	HU	Vengrija		tūkst. EUR	17967.6
2020M02	Eksportas	HU	Vengrija		tūkst. EUR	16071
2020M03	Eksportas	HU	Vengrija		tūkst. EUR	19831
2019	Eksportas	DE	Vokietija		tūkst. EUR	2248596.2
2020M01	Eksportas	DE	Vokietija		tūkst. EUR	215273
2020M02	Eksportas	DE	Vokietija		tūkst. EUR	184089.8
2020M03	Eksportas	DE	Vokietija		tūkst. EUR	191823.9
2019	Eksportas	AF	Afganistanas		tūkst. EUR	5359.5
2020M01	Eksportas	AF	Afganistanas		tūkst. EUR	27.5
2020M02	Eksportas	AF	Afganistanas		tūkst. EUR	402.3
2020M03	Eksportas	AF	Afganistanas		tūkst. EUR	18.1
2019	Eksportas	AL	Albanija		tūkst. EUR	4869.9
