country,m2014,m2015,m2016,m2017,m2018,m2019,diff1514,diff1615,diff1716,diff1817,diff1918,prcnt1415,prcnt1516,prcnt1617,prcnt1718,prcnt1819,prcnt14_18,m2014_2018,a2014_2018
Airija,54898.5,73788.2,71192.5,68483.2,95182.8,58635.399999999994,18889.699999999997,-2595.699999999997,-2709.300000000003,26699.600000000006,-36547.40000000001,34.4,-3.5,-3.8,39.0,-38.4,16.5,363545.2,40284.3
Austrija,65340.4,64323.0,79516.4,101376.6,111797.1,132983.9,-1017.4000000000015,15193.399999999994,21860.20000000001,10420.5,21186.79999999999,-1.6,23.6,27.5,10.3,19.0,15.0,422353.5,46456.7
Belgija,312852.9,339281.5,272322.8,328534.3,357160.3,288724.7,26428.599999999977,-66958.70000000001,56211.5,28626.0,-68435.59999999998,8.4,-19.7,20.6,8.7,-19.2,4.5,1610151.8,44307.4
Bulgarija,20577.7,19816.4,25525.1,34096.1,46432.0,38913.399999999994,-761.2999999999993,5708.699999999997,8571.0,12335.900000000001,-7518.600000000006,-3.7,28.8,33.6,36.2,-16.2,23.7,146447.3,25854.3
Čekija,145600.2,143826.9,146050.3,189860.5,199470.8,191727.40000000002,-1773.3000000000175,2223.399999999994,43810.20000000001,9610.299999999988,-7743.399999999965,-1.2,1.5,30.0,5.1,-3.9,8.8,824808.7,53870.6
Danija,461899.4,480946.2,486656.9,550553.6,596971.7,404346.6,19046.79999999999,5710.700000000012,63896.69999999995,46418.09999999998,-192625.09999999998,4.1,1.2,13.1,8.4,-32.3,6.7,2577027.8,135072.3
Estija,540406.7,619835.6,576433.1,632329.3,736336.6,556660.8,79428.90000000002,-43402.5,55896.20000000007,104007.29999999993,-179675.79999999993,14.7,-7.0,9.7,16.4,-24.4,8.4,3105341.3,195929.9
Graikija,14228.0,15911.0,14942.2,19827.2,35171.6,27661.800000000003,1683.0,-968.7999999999993,4885.0,15344.399999999998,-7509.799999999996,11.8,-6.1,32.7,77.4,-21.4,29.0,100080.0,20943.6
Ispanija,171754.7,250722.0,240875.4,251558.6,248458.5,213546.59999999998,78967.29999999999,-9846.600000000006,10683.200000000012,-3100.100000000006,-34911.90000000002,46.0,-3.9,4.4,-1.2,-14.1,11.3,1163369.2,76703.8
Italija,379036.8,404513.6,438832.0,494969.0,497851.7,410088.9,25476.79999999999,34318.40000000002,56137.0,2882.7000000000116,-87762.79999999999,6.7,8.5,12.8,0.6,-17.6,7.2,2215203.1,118814.9
Jungtinė Karalystė,827587.6,901098.6,824008.6,797166.2,907112.7,703646.5,73511.0,-77090.0,-26842.400000000023,109946.5,-203466.19999999995,8.9,-8.6,-3.3,13.8,-22.4,2.7,4256973.7,79525.1
